Gene_acc,Gene_id,srank,Intensity,FDR,Desc
60,sp|Q9JLJ5|ELOV1_MOUSE,-17.211668,6.845153874286947,0.23115,Elongation of very long chain fatty acids protein 1
61,sp|Q8K2J7|RELL1_MOUSE,17.018767,7.30982172568023,0.23226,RELT-like protein 1
62,sp|P50580|PA2G4_MOUSE,16.804542,7.0340666785975605,0.23508,Proliferation-associated protein 2G4
63,sp|P09411|PGK1_MOUSE,16.304835999999998,7.913527759366859,0.24563,Phosphoglycerate kinase 1
64,sp|Q60987|FOXG1_MOUSE,-16.274604,7.443669703496398,0.24563,Forkhead box protein G1
65,sp|O54916|REPS1_MOUSE,16.248435,7.114110356531891,0.24563,RalBP1-associated Eps domain-containing protein 1
66,tr|A0A571BEU3|A0A571BEU3_MOUSE,-16.243996,9.06647501375413,0.24563,tr|A0A571BEU3|A0A571BEU3_MOUSE SH3 and multiple ankyrin repeat domains protein 3
67,tr|Q3U8S1|Q3U8S1_MOUSE,15.951460999999998,7.679627735117284,0.24563,none
68,sp|P62071|RRAS2_MOUSE,15.682448,7.86806224653225,0.24696,Ras-related protein R-Ras2
69,sp|B0V2N1|PTPRS_MOUSE,15.5613,7.64866244787332,0.24843,Receptor-type tyrosine-protein phosphatase S
70,sp|P16546|SPTN1_MOUSE,15.436272,7.673601422419811,0.2493,"Spectrin alpha chain, non-erythrocytic 1"
71,sp|Q9JKV1|ADRM1_MOUSE,15.084197,6.808562048916648,0.25722,Proteasomal ubiquitin receptor ADRM1
72,tr|Q5SS83|Q5SS83_MOUSE,15.059722,7.821565928800819,0.25722,tr|Q5SS83|Q5SS83_MOUSE Flotillin
73,tr|A0A0R4J1I5|A0A0R4J1I5_MOUSE,-14.917791,7.485792383835206,0.25722,none
74,sp|Q91XV3|BASP1_MOUSE,14.790088,7.598013113465622,0.25813,Brain acid soluble protein 1
75,tr|D3YZW7|D3YZW7_MOUSE,-14.675081,6.3855705277254655,0.25882,tr|D3YZW7|D3YZW7_MOUSE Autophagy-related protein 16-1 (Fragment)
76,sp|Q62086|PON2_MOUSE,-14.309327,6.80967416476564,0.26714,Serum paraoxonase/arylesterase 2
77,tr|H7BX14|H7BX14_MOUSE,-14.302114,7.67974577829864,0.26714,tr|H7BX14|H7BX14_MOUSE tRNA-splicing endonuclease subunit Sen34
78,sp|P52019|ERG1_MOUSE,-14.086205,7.896774157509428,0.26835,Squalene monooxygenase
79,sp|P09055|ITB1_MOUSE,14.00874,7.897709544440435,0.26835,Integrin beta-1
80,sp|Q3UA06|PCH2_MOUSE,-13.826633,7.15742654478045,0.27198,Pachytene checkpoint protein 2 homolog
81,tr|Q6PCP3|Q6PCP3_MOUSE,-13.773735,6.345099146132895,0.27198,none
82,sp|G5E829|AT2B1_MOUSE,13.69863,7.944566561845088,0.27198,Plasma membrane calcium-transporting ATPase 1
83,sp|Q62261|SPTB2_MOUSE,13.668068,7.5120570440373395,0.27198,"Spectrin beta chain, non-erythrocytic 1"
84,sp|Q91WL8|WWOX_MOUSE,13.436089,7.813147144580467,0.27424,WW domain-containing oxidoreductase
85,sp|Q9ERB0|SNP29_MOUSE,13.341724,7.689246685729236,0.27512,Synaptosomal-associated protein 29
86,sp|Q8BXJ2|TREF1_MOUSE,-12.884189,8.179379417881757,0.2923,Transcriptional-regulating factor 1
87,sp|Q9Z0P4|PALM_MOUSE,12.751519,7.492411137313683,0.29648,Paralemmin-1
88,tr|A2ATI9|A2ATI9_MOUSE,12.713706,7.43539838026736,0.29648,tr|A2ATI9|A2ATI9_MOUSE Golgi reassembly-stacking protein 2
89,tr|A0A0A0MQM0|A0A0A0MQM0_MOUSE,12.15205,7.607079544728571,0.32044,tr|A0A0A0MQM0|A0A0A0MQM0_MOUSE Eukaryotic translation initiation factor 5A (Fragment)
90,tr|G3UZP7|G3UZP7_MOUSE,12.098052,7.619448137873926,0.32044,"tr|G3UZP7|G3UZP7_MOUSE H-2 class I histocompatibility antigen, D-K alpha chain"
91,sp|Q9WUM3|COR1B_MOUSE,12.083312,7.571196224924675,0.32044,Coronin-1B
92,sp|P70280|VAMP7_MOUSE,12.058767,7.270702122087818,0.32044,Vesicle-associated membrane protein 7
93,sp|Q5F2E8|TAOK1_MOUSE,-12.034032,8.026614967934675,0.32044,Serine/threonine-protein kinase TAO1
94,sp|Q8R2U7|LRC42_MOUSE,-11.928961,7.453425371271665,0.32044,Leucine-rich repeat-containing protein 42
95,sp|Q922Q8|LRC59_MOUSE,11.729959,7.2985692737371926,0.32156,Leucine-rich repeat-containing protein 59
96,sp|Q9CWR7|STEA1_MOUSE,11.534871,7.953972197655973,0.32897,Metalloreductase STEAP1
97,sp|O88952|LIN7C_MOUSE,11.451814,7.350306178879111,0.33031,Protein lin-7 homolog C
98,tr|E9Q3N1|E9Q3N1_MOUSE,11.43537,7.614886674777004,0.33031,tr|E9Q3N1|E9Q3N1_MOUSE High affinity cationic amino acid transporter 1 (Fragment)
99,sp|Q8K2P7|S38A1_MOUSE,11.366427,7.375224526065799,0.33031,Sodium-coupled neutral amino acid transporter 1
100,sp|P21958|TAP1_MOUSE,-11.267175,6.953102197067407,0.33198,Antigen peptide transporter 1
101,tr|Q5SXR6|Q5SXR6_MOUSE,11.25478,8.289209782644987,0.33198,tr|Q5SXR6|Q5SXR6_MOUSE Clathrin heavy chain
102,sp|Q8C6B2|RTKN_MOUSE,-11.097133,6.8161617273011945,0.33534,Rhotekin
103,sp|P63094|GNAS2_MOUSE,11.044721,7.411417661539068,0.33534,Guanine nucleotide-binding protein G(s) subunit alpha isoforms short
104,sp|Q9D3B1|HACD2_MOUSE,-11.044466,7.589770934458269,0.33534,Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 2
105,tr|A2AVJ7|A2AVJ7_MOUSE,10.820344,8.249614102344582,0.34396,tr|A2AVJ7|A2AVJ7_MOUSE Ribosome-binding protein 1
106,sp|E9PVA8|GCN1_MOUSE,-10.80886,7.868667944902471,0.34396,eIF-2-alpha kinase activator GCN1
107,tr|A2ACC6|A2ACC6_MOUSE,10.625678,8.297760511099133,0.35093,tr|A2ACC6|A2ACC6_MOUSE Ral GTPase-activating protein subunit beta
108,sp|O70318|E41L2_MOUSE,10.570389,8.969378632257653,0.35093,Band 4.1-like protein 2
109,sp|Q9DCL9|PUR6_MOUSE,-10.471842,7.32341712135042,0.35345,Multifunctional protein ADE2
110,sp|Q9JJ66|CDC20_MOUSE,-10.383541,7.300117018289869,0.35613,Cell division cycle protein 20 homolog
111,sp|Q99PT1|GDIR1_MOUSE,10.360472,7.464310665925887,0.35613,Rho GDP-dissociation inhibitor 1
112,tr|Q5UE59|Q5UE59_MOUSE,10.179871,7.7079532081514905,0.36239,none
113,sp|P97855|G3BP1_MOUSE,-10.158889,7.987380215528874,0.36239,Ras GTPase-activating protein-binding protein 1
114,tr|E9PUQ9|E9PUQ9_MOUSE,10.139611,7.835303655199064,0.36239,tr|E9PUQ9|E9PUQ9_MOUSE Piezo-type mechanosensitive ion channel component
115,sp|P62301|RS13_MOUSE,10.093748,7.718493384878098,0.36239,40S ribosomal protein S13
116,sp|O55131|SEPT7_MOUSE,10.053721,8.702137461143439,0.36239,Septin-7
117,sp|O54962|BAF_MOUSE,-9.992598,10.29928933408768,0.36239,Barrier-to-autointegration factor
118,sp|Q8C0P0|GWL_MOUSE,-9.927541,7.176525336535,0.36239,Serine/threonine-protein kinase greatwall
119,sp|P03888|NU1M_MOUSE,-9.801168,7.905256048748451,0.36542,NADH-ubiquinone oxidoreductase chain 1
120,tr|A0A067XG53|A0A067XG53_MOUSE,9.768781,7.3732431182673634,0.36542,tr|A0A067XG53|A0A067XG53_MOUSE Peripheral plasma membrane protein CASK (Fragment)
121,sp|Q80WJ7|LYRIC_MOUSE,9.746867,7.561554531506207,0.36542,Protein LYRIC
122,sp|P07356|ANXA2_MOUSE,9.654535,8.388154507768881,0.36659,Annexin A2
123,sp|Q9CZE3|RAB32_MOUSE,9.624722,8.098193625863289,0.36659,Ras-related protein Rab-32
124,tr|E9Q1Y3|E9Q1Y3_MOUSE,9.592013,7.895013475687755,0.36659,tr|E9Q1Y3|E9Q1Y3_MOUSE Apolipoprotein B-100 (Fragment)
125,tr|F6YVP7|F6YVP7_MOUSE,9.530103,7.983558634739959,0.36786,"tr|F6YVP7|F6YVP7_MOUSE Ribosomal protein S18, pseudogene 6"
126,sp|P62259|1433E_MOUSE,9.444569,7.852193215818459,0.37134,14-3-3 protein epsilon
127,sp|Q9DBE8|ALG2_MOUSE,-9.343298,7.914147389545718,0.37648,"Alpha-1,3/1,6-mannosyltransferase ALG2"
128,sp|Q8BMK4|CKAP4_MOUSE,9.260571,8.494154594018443,0.38031,Cytoskeleton-associated protein 4
129,tr|D3Z3E8|D3Z3E8_MOUSE,-9.247797,7.94566057766261,0.38031,tr|D3Z3E8|D3Z3E8_MOUSE Putative helicase MOV-10
130,sp|Q9CZW4|ACSL3_MOUSE,9.224529,7.911956189072687,0.38031,Long-chain-fatty-acid--CoA ligase 3
131,tr|A0A0N4SW73|A0A0N4SW73_MOUSE,9.18581,7.585573518622731,0.38031,tr|A0A0N4SW73|A0A0N4SW73_MOUSE Rab11 family-interacting protein 5
132,sp|P35564|CALX_MOUSE,9.180154,7.925590528376495,0.38031,Calnexin
133,sp|Q60596|XRCC1_MOUSE,-9.069752,8.34976304398795,0.38031,DNA repair protein XRCC1
134,sp|Q8JZM0|TFB1M_MOUSE,-9.036616,7.099127927726467,0.38031,"Dimethyladenosine transferase 1, mitochondrial"
135,sp|P58871|TB182_MOUSE,8.966139,7.601429807335315,0.38301,182 kDa tankyrase-1-binding protein
136,sp|P32507|NECT2_MOUSE,8.879183,6.917799490936301,0.38759,Nectin-2
137,sp|Q8CIN4|PAK2_MOUSE,8.8171,7.183867477152165,0.38899,Serine/threonine-protein kinase PAK 2
138,tr|Q3UC82|Q3UC82_MOUSE,-8.764632,8.819050138465473,0.39058,tr|Q3UC82|Q3UC82_MOUSE DNA ligase
139,tr|D3YUT3|D3YUT3_MOUSE,8.739213000000001,7.324961153037354,0.39058,tr|D3YUT3|D3YUT3_MOUSE 40S ribosomal protein S19 (Fragment)
140,sp|Q64430|ATP7A_MOUSE,8.71138,7.4450434614501795,0.39058,Copper-transporting ATPase 1
141,sp|Q501J7|PHAR4_MOUSE,8.587038,7.281442457270873,0.39535,Phosphatase and actin regulator 4
142,sp|Q8BWB6|STEA2_MOUSE,8.526461999999999,7.303412070596742,0.39657,Metalloreductase STEAP2
143,sp|Q8BI22|CE128_MOUSE,-8.503464,7.326417795554389,0.39657,Centrosomal protein of 128 kDa
144,sp|P54775|PRS6B_MOUSE,8.489424,7.991350142107252,0.39657,26S proteasome regulatory subunit 6B
145,sp|Q8C0I1|ADAS_MOUSE,8.439291,7.174437796452046,0.39699,"Alkyldihydroxyacetonephosphate synthase, peroxisomal"
146,tr|E9Q4Q2|E9Q4Q2_MOUSE,-8.368772,7.475046168127798,0.39959,tr|E9Q4Q2|E9Q4Q2_MOUSE Splicing factor 1
147,tr|A0A2C9F2D2|A0A2C9F2D2_MOUSE,8.337672,7.028937077070678,0.39959,tr|A0A2C9F2D2|A0A2C9F2D2_MOUSE Annexin
148,sp|Q8CD26|S35E1_MOUSE,-8.313788,7.311499565460373,0.39959,Solute carrier family 35 member E1
149,sp|P26638|SYSC_MOUSE,8.272405000000001,7.7085908451503435,0.39959,"Serine--tRNA ligase, cytoplasmic"
150,sp|O35963|RB33B_MOUSE,-8.204864,7.896228502499125,0.40265,Ras-related protein Rab-33B
151,tr|A0A2I3BRK6|A0A2I3BRK6_MOUSE,-8.138182,7.585550963143129,0.40684,tr|A0A2I3BRK6|A0A2I3BRK6_MOUSE Transcription and mRNA export factor ENY2
152,sp|O54988|SLK_MOUSE,8.058481,7.546986601314178,0.41013,STE20-like serine/threonine-protein kinase
153,tr|A7E1Z5|A7E1Z5_MOUSE,8.011096,7.297257006590092,0.4113600000000001,tr|A7E1Z5|A7E1Z5_MOUSE Anion exchange protein
154,sp|P80314|TCPB_MOUSE,7.967819,8.153906285138868,0.4129,T-complex protein 1 subunit beta
155,tr|D6RE33|D6RE33_MOUSE,-7.949772,7.772351049953356,0.4129,none
156,sp|Q91WF7|FIG4_MOUSE,-7.948799,6.990920189227462,0.4129,Polyphosphoinositide phosphatase
157,sp|Q02013|AQP1_MOUSE,7.907591,7.679055224758067,0.4129,Aquaporin-1
158,sp|Q9QZD9|EIF3I_MOUSE,7.895199000000002,7.087319912206401,0.4129,Eukaryotic translation initiation factor 3 subunit I
159,tr|E9Q390|E9Q390_MOUSE,7.8301690000000015,7.701015051766432,0.4129,tr|E9Q390|E9Q390_MOUSE Myoferlin
160,sp|Q3U2P1|SC24A_MOUSE,-7.770436,7.469954492392521,0.41447,Protein transport protein Sec24A
161,sp|Q8K1S3|UNC5B_MOUSE,7.71242,7.412141219416652,0.41735,Netrin receptor UNC5B
162,sp|Q8BP92|RCN2_MOUSE,-7.63036,7.484968564908483,0.42147,Reticulocalbin-2
163,sp|Q9R1B9|SLIT2_MOUSE,-7.627412,8.10615688696684,0.42147,Slit homolog 2 protein
164,sp|Q7TNV0|DEK_MOUSE,-7.513445,7.737447099710349,0.42564,Protein DEK
165,tr|A0A0U1RNK7|A0A0U1RNK7_MOUSE,7.287205,7.709812490068125,0.44476,none
166,sp|P28660|NCKP1_MOUSE,7.2745440000000015,7.3460007009567505,0.44476,Nck-associated protein 1
167,sp|Q9D3D9|ATPD_MOUSE,7.202371,7.990463174880597,0.44732,"ATP synthase subunit delta, mitochondrial"
168,tr|F6Y3V0|F6Y3V0_MOUSE,7.1938770000000005,7.75828345113316,0.44732,tr|F6Y3V0|F6Y3V0_MOUSE Receptor-type tyrosine-protein phosphatase F (Fragment)
169,sp|P47857|PFKAM_MOUSE,-7.107676,7.29453235734187,0.4527600000000001,"ATP-dependent 6-phosphofructokinase, muscle type"
170,tr|A0A498WFS2|A0A498WFS2_MOUSE,-7.090462,6.991527318383332,0.4527600000000001,tr|A0A498WFS2|A0A498WFS2_MOUSE UBX domain-containing protein 1
171,tr|F8WIJ0|F8WIJ0_MOUSE,7.045245,7.046768219660838,0.45372,tr|F8WIJ0|F8WIJ0_MOUSE Solute carrier family 12 member 4
172,sp|B2RXS4|PLXB2_MOUSE,6.925087,7.612868588840168,0.46237,Plexin-B2
173,sp|P10852|4F2_MOUSE,6.8922240000000015,9.62574447222465,0.46339,4F2 cell-surface antigen heavy chain
174,sp|P26618|PGFRA_MOUSE,6.8356949999999985,7.080951004379483,0.46651,Platelet-derived growth factor receptor alpha
175,sp|P26041|MOES_MOUSE,6.8055460000000005,7.379740500992257,0.46682,Moesin
176,sp|O88569|ROA2_MOUSE,6.798106,7.732232880220498,0.46682,Heterogeneous nuclear ribonucleoproteins A2/B1
177,sp|Q8C129|LCAP_MOUSE,6.740332,7.15742654478045,0.46854,Leucyl-cystinyl aminopeptidase
178,tr|D3YV17|D3YV17_MOUSE,-6.719747,7.519919828819888,0.46854,tr|D3YV17|D3YV17_MOUSE Trinucleotide repeat-containing gene 18 protein
179,sp|Q5Y5T5|ZDHC8_MOUSE,6.716449000000001,6.9091065265459815,0.46854,Probable palmitoyltransferase ZDHHC8
180,sp|Q8BXL9|IFFO1_MOUSE,-6.639625,7.681141700151075,0.47249,Intermediate filament family orphan 1
181,tr|D3YZ62|D3YZ62_MOUSE,6.590811,7.426820199963355,0.4761,tr|D3YZ62|D3YZ62_MOUSE Unconventional myosin-Va
182,sp|Q8C8U0|LIPB1_MOUSE,6.587087,7.288495151773556,0.4761,Liprin-beta-1
183,sp|P97434|MPRIP_MOUSE,6.5660880000000015,7.720523131103328,0.4761,Myosin phosphatase Rho-interacting protein
184,sp|P42208|SEPT2_MOUSE,6.5624509999999985,8.882137313939909,0.4761,Septin-2
185,sp|P62315|SMD1_MOUSE,6.533563,7.5034638181532145,0.4761,Small nuclear ribonucleoprotein Sm D1
186,sp|Q61033|LAP2A_MOUSE,-6.446852,10.406335758457056,0.47914,"Lamina-associated polypeptide 2, isoforms alpha/zeta"
187,tr|B1AZ15|B1AZ15_MOUSE,6.444158,7.056447458474917,0.47914,tr|B1AZ15|B1AZ15_MOUSE Cordon-bleu protein-like 1
188,sp|Q9JK92|HSPB8_MOUSE,-6.399979,9.328705711568874,0.47942,Heat shock protein beta-8
189,sp|P0CL69|ZN703_MOUSE,-6.362132,7.989427568404057,0.48074,Zinc finger protein 703
190,sp|Q9DC51|GNAI3_MOUSE,6.342293,7.269256027417773,0.48074,Guanine nucleotide-binding protein G(i) subunit alpha
191,tr|A0A087WS03|A0A087WS03_MOUSE,6.33274,6.930199953067788,0.48074,none
192,sp|O54833|CSK22_MOUSE,-6.311947,7.373316665173873,0.48074,Casein kinase II subunit alpha
193,tr|A0A338P6U4|A0A338P6U4_MOUSE,-6.155399,7.359019228292674,0.49335,"tr|A0A338P6U4|A0A338P6U4_MOUSE Presenilins-associated rhomboid-like protein, mitochondrial"
194,sp|Q571K4|TAB3_MOUSE,6.132348,6.9399832504894,0.49415,TGF-beta-activated kinase 1 and MAP3K7-binding protein 3
195,tr|E9Q6R7|E9Q6R7_MOUSE,6.067176,7.61761882260783,0.49939,none
196,sp|Q9D662|SC23B_MOUSE,6.0653510000000015,8.256308749121933,0.49939,Protein transport protein Sec23B
197,sp|Q8K1R3|PNPT1_MOUSE,-6.053205,7.109139643904016,0.49939,"Polyribonucleotide nucleotidyltransferase 1, mitochondrial"
198,sp|Q8C170|MYO9A_MOUSE,5.998781,6.673997202051136,0.50156,Unconventional myosin-IXa
199,tr|D6RH49|D6RH49_MOUSE,-5.93655,7.907164043509678,0.5078,tr|D6RH49|D6RH49_MOUSE 40S ribosomal protein S27
200,sp|Q6ZPE2|MTMR5_MOUSE,5.801963,6.90601701752105,0.52323,Myotubularin-related protein 5
201,sp|Q9DC23|DJC10_MOUSE,-5.800602,8.014898386946205,0.52323,DnaJ homolog subfamily C member 10
202,tr|G3UXH4|G3UXH4_MOUSE,5.778459,7.135736743509474,0.52323,tr|G3UXH4|G3UXH4_MOUSE Serine/threonine-protein kinase N2
203,tr|Q8BUU7|Q8BUU7_MOUSE,-5.763393,7.348888723071438,0.52323,tr|Q8BUU7|Q8BUU7_MOUSE N-acetylgalactosamine kinase
204,tr|E0CYA3|E0CYA3_MOUSE,5.762015,6.941078910463202,0.52323,none
205,sp|Q8R1K1|UBAC2_MOUSE,5.732229,7.294289827100718,0.52323,Ubiquitin-associated domain-containing protein 2
206,sp|Q9QUK3|CLN8_MOUSE,-5.717846,8.115210976704168,0.52323,Protein CLN8
207,tr|A0A1D5RM92|A0A1D5RM92_MOUSE,5.707604,6.938394622343449,0.52323,tr|A0A1D5RM92|A0A1D5RM92_MOUSE E3 ubiquitin-protein ligase
208,tr|Q7TQG5|Q7TQG5_MOUSE,5.686842,6.9491850103134345,0.52323,tr|Q7TQG5|Q7TQG5_MOUSE Neogenin
209,tr|A0A0R4J0I9|A0A0R4J0I9_MOUSE,5.624731,7.40270834669195,0.52323,tr|A0A0R4J0I9|A0A0R4J0I9_MOUSE Prolow-density lipoprotein receptor-related protein 1
210,sp|P09602|HMGN2_MOUSE,-5.610755,7.058463985602251,0.52323,Non-histone chromosomal protein HMG-17
211,tr|Q561M1|Q561M1_MOUSE,-5.377679,7.6703850277210135,0.5534,tr|Q561M1|Q561M1_MOUSE Acp1 protein
212,tr|Q3V117|Q3V117_MOUSE,5.320481,7.816619071297846,0.55934,tr|Q3V117|Q3V117_MOUSE ATP-citrate synthase
213,sp|Q8BJM7|TYW1_MOUSE,-5.3161190000000005,6.749890841271422,0.55934,S-adenosyl-L-methionine-dependent tRNA 4-demethylwyosine synthase TYW1
214,tr|A2ACM0|A2ACM0_MOUSE,-5.305172,7.604161228174744,0.55934,tr|A2ACM0|A2ACM0_MOUSE Regulatory-associated protein of mTOR
215,sp|Q80X90|FLNB_MOUSE,-5.290198,7.939609097355395,0.55934,Filamin-B
216,tr|B7ZDF7|B7ZDF7_MOUSE,-5.286596,8.693181540642804,0.55934,none
217,sp|P60122|RUVB1_MOUSE,5.246696,7.571999816397063,0.55934,RuvB-like 1
218,tr|A7YY80|A7YY80_MOUSE,5.220868,8.883996252128789,0.5597300000000001,none
219,sp|P52875|TM165_MOUSE,-5.196676,7.892940096595124,0.56155,Transmembrane protein 165
