Gene_acc,Gene_id,srank,Intensity,FDR,Desc,desc2,ids2
10,sp|O54724|CAVN1_MOUSE,91.285849,9.552254405235812,0.01,Caveolae-associated protein 1,sp|O54724|CAVN1_MOUSE Caveolae-associated protein 1 OS=Mus musculus OX=10090 GN=Cavin1 PE=1 SV=1,sp|O54724|CAVN1_MOUSE
11,tr|D3YVM2|D3YVM2_MOUSE,75.291466,8.008983203815472,0.013330000000000002,tr|D3YVM2|D3YVM2_MOUSE Transmembrane protein 59,tr|D3YVM2|D3YVM2_MOUSE Transmembrane protein 59 OS=Mus musculus OX=10090 GN=Tmem59 PE=1 SV=1;sp|Q9QY73|TMM59_MOUSE Transmembrane protein 59 OS=Mus musculus OX=10090 GN=Tmem59 PE=1 SV=2,tr|D3YVM2|D3YVM2_MOUSE;sp|Q9QY73|TMM59_MOUSE
12,sp|Q5Y5T1|ZDH20_MOUSE,74.73822,8.203032887014711,0.013330000000000002,Palmitoyltransferase ZDHHC20,sp|Q5Y5T1|ZDH20_MOUSE Palmitoyltransferase ZDHHC20 OS=Mus musculus OX=10090 GN=Zdhhc20 PE=1 SV=1,sp|Q5Y5T1|ZDH20_MOUSE
13,sp|Q811D0|DLG1_MOUSE,73.69508,8.601299310194337,0.01357,Disks large homolog 1,sp|Q811D0|DLG1_MOUSE Disks large homolog 1 OS=Mus musculus OX=10090 GN=Dlg1 PE=1 SV=1;tr|H7BWY4|H7BWY4_MOUSE Disks large homolog 1 OS=Mus musculus OX=10090 GN=Dlg1 PE=1 SV=1;tr|E9Q9H0|E9Q9H0_MOUSE Disks large homolog 1 OS=Mus musculus OX=10090 GN=Dlg1 PE=1,sp|Q811D0|DLG1_MOUSE;tr|H7BWY4|H7BWY4_MOUSE;tr|E9Q9H0|E9Q9H0_MOUSE;tr|D3Z3B8|D3Z3B8_MOUSE;tr|S4R2T8|S4R2T8_MOUSE;tr|F6UDT8|F6UDT8_MOUSE;tr|A0A338P6J0|A0A338P6J0_MOUSE;tr|A0A571BEZ4|A0A571BEZ4_MOUSE;tr|A0A571BEK3|A0A571BEK3_MOUSE;tr|E9Q2L2|E9Q2L2_MOUSE;sp|Q91XM9|DLG2_MOUSE;tr|D3YUZ8|D3YUZ8_MOUSE;tr|A0A338P6I6|A0A338P6I6_MOUSE;tr|A0A338P7H1|A0A338P7H1_MOUSE;tr|A0A338P713|A0A338P713_MOUSE;tr|G3UZL5|G3UZL5_MOUSE;tr|A0A338P6E5|A0A338P6E5_MOUSE;tr|D3YWU0|D3YWU0_MOUSE;tr|A0A338P6H5|A0A338P6H5_MOUSE;tr|A0A338P6L4|A0A338P6L4_MOUSE;tr|B1AR31|B1AR31_MOUSE;tr|E9Q3Z8|E9Q3Z8_MOUSE;sp|Q62108|DLG4_MOUSE
14,tr|A0A140LIU9|A0A140LIU9_MOUSE,-68.998312,7.851454042980313,0.01467,tr|A0A140LIU9|A0A140LIU9_MOUSE Translocator protein (Fragment),tr|A0A140LIU9|A0A140LIU9_MOUSE Translocator protein (Fragment) OS=Mus musculus OX=10090 GN=Tspo PE=1 SV=2;sp|P50637|TSPO_MOUSE Translocator protein OS=Mus musculus OX=10090 GN=Tspo PE=1 SV=1,tr|A0A140LIU9|A0A140LIU9_MOUSE;sp|P50637|TSPO_MOUSE
15,sp|Q80Z96|VANG1_MOUSE,66.950722,8.388154507768881,0.016880000000000003,Vang-like protein 1,sp|Q80Z96|VANG1_MOUSE Vang-like protein 1 OS=Mus musculus OX=10090 GN=Vangl1 PE=1 SV=2;tr|Q3UXU7|Q3UXU7_MOUSE Vang-like protein OS=Mus musculus OX=10090 GN=Vangl1 PE=1 SV=1;tr|A0A0H2UH25|A0A0H2UH25_MOUSE Vang-like protein 1 OS=Mus musculus OX=10090 GN=Vang,sp|Q80Z96|VANG1_MOUSE;tr|Q3UXU7|Q3UXU7_MOUSE;tr|A0A0H2UH25|A0A0H2UH25_MOUSE;tr|F7BWJ0|F7BWJ0_MOUSE;tr|E0CX72|E0CX72_MOUSE
16,sp|Q6P9J9|ANO6_MOUSE,64.560757,8.460100654538845,0.01824,Anoctamin-6,sp|Q6P9J9|ANO6_MOUSE Anoctamin-6 OS=Mus musculus OX=10090 GN=Ano6 PE=1 SV=1;tr|A0A2I3BPX3|A0A2I3BPX3_MOUSE Anoctamin OS=Mus musculus OX=10090 GN=Ano6 PE=1 SV=1;tr|A0A2I3BPY8|A0A2I3BPY8_MOUSE Anoctamin OS=Mus musculus OX=10090 GN=Ano6 PE=1 SV=1,sp|Q6P9J9|ANO6_MOUSE;tr|A0A2I3BPX3|A0A2I3BPX3_MOUSE;tr|A0A2I3BPY8|A0A2I3BPY8_MOUSE;tr|A0A2I3BRD2|A0A2I3BRD2_MOUSE
17,sp|Q63918|CAVN2_MOUSE,63.73857099999999,8.404731115253496,0.01889,Caveolae-associated protein 2,sp|Q63918|CAVN2_MOUSE Caveolae-associated protein 2 OS=Mus musculus OX=10090 GN=Cavin2 PE=1 SV=3,sp|Q63918|CAVN2_MOUSE
18,sp|Q3UL36|ARGL1_MOUSE,-60.620672,7.355700492781882,0.01947,Arginine and glutamate-rich protein 1,sp|Q3UL36|ARGL1_MOUSE Arginine and glutamate-rich protein 1 OS=Mus musculus OX=10090 GN=Arglu1 PE=1 SV=2;tr|A0A140LIS5|A0A140LIS5_MOUSE Arginine and glutamate-rich protein 1 (Fragment) OS=Mus musculus OX=10090 GN=Arglu1 PE=1 SV=1,sp|Q3UL36|ARGL1_MOUSE;tr|A0A140LIS5|A0A140LIS5_MOUSE
19,tr|Q924U4|Q924U4_MOUSE,60.171518000000006,7.9294444716971775,0.01947,tr|Q924U4|Q924U4_MOUSE Caveolin,tr|Q924U4|Q924U4_MOUSE Caveolin OS=Mus musculus OX=10090 GN=Cav2 PE=1 SV=1;tr|D3Z147|D3Z147_MOUSE Caveolin-2 OS=Mus musculus OX=10090 GN=Cav2 PE=1 SV=1;sp|Q9WVC3|CAV2_MOUSE Caveolin-2 OS=Mus musculus OX=10090 GN=Cav2 PE=1 SV=1,tr|Q924U4|Q924U4_MOUSE;tr|D3Z147|D3Z147_MOUSE;sp|Q9WVC3|CAV2_MOUSE
20,sp|Q03145|EPHA2_MOUSE,58.02899,8.428944290035574,0.01952,Ephrin type-A receptor 2,sp|Q03145|EPHA2_MOUSE Ephrin type-A receptor 2 OS=Mus musculus OX=10090 GN=Epha2 PE=1 SV=3,sp|Q03145|EPHA2_MOUSE
21,sp|P18572|BASI_MOUSE,55.245989,8.374253298101756,0.02455,Basigin,sp|P18572|BASI_MOUSE Basigin OS=Mus musculus OX=10090 GN=Bsg PE=1 SV=2;tr|K3W4Q8|K3W4Q8_MOUSE Basigin OS=Mus musculus OX=10090 GN=Bsg PE=1 SV=1;tr|J3QP71|J3QP71_MOUSE Basigin (Fragment) OS=Mus musculus OX=10090 GN=Bsg PE=1 SV=1,sp|P18572|BASI_MOUSE;tr|K3W4Q8|K3W4Q8_MOUSE;tr|J3QP71|J3QP71_MOUSE
22,sp|Q62371|DDR2_MOUSE,47.3587,8.174437796452045,0.04783,Discoidin domain-containing receptor 2,sp|Q62371|DDR2_MOUSE Discoidin domain-containing receptor 2 OS=Mus musculus OX=10090 GN=Ddr2 PE=1 SV=2,sp|Q62371|DDR2_MOUSE;sp|Q03146|DDR1_MOUSE
23,sp|P47738|ALDH2_MOUSE,-46.714983,7.681530670563176,0.04783,"Aldehyde dehydrogenase, mitochondrial",sp|P47738|ALDH2_MOUSE Aldehyde dehydrogenase  mitochondrial OS=Mus musculus OX=10090 GN=Aldh2 PE=1 SV=1;tr|A0A0G2JEU1|A0A0G2JEU1_MOUSE Aldehyde dehydrogenase  mitochondrial OS=Mus musculus OX=10090 GN=Aldh2 PE=1 SV=1,sp|P47738|ALDH2_MOUSE;tr|A0A0G2JEU1|A0A0G2JEU1_MOUSE;tr|A0A0G2JF60|A0A0G2JF60_MOUSE;tr|A0A0G2JFQ0|A0A0G2JFQ0_MOUSE
24,tr|E9Q9C3|E9Q9C3_MOUSE,43.75917800000001,8.696889099378062,0.0548,tr|E9Q9C3|E9Q9C3_MOUSE Afadin,tr|E9Q9C3|E9Q9C3_MOUSE Afadin OS=Mus musculus OX=10090 GN=Afdn PE=1 SV=1;sp|Q9QZQ1|AFAD_MOUSE Afadin OS=Mus musculus OX=10090 GN=Afdn PE=1 SV=3;tr|E9PYX7|E9PYX7_MOUSE Afadin OS=Mus musculus OX=10090 GN=Afdn PE=1 SV=1,tr|E9Q9C3|E9Q9C3_MOUSE;sp|Q9QZQ1|AFAD_MOUSE;tr|E9PYX7|E9PYX7_MOUSE
25,sp|O54962|BAF_MOUSE,-42.901272,10.29928933408768,0.055770000000000014,Barrier-to-autointegration factor,sp|O54962|BAF_MOUSE Barrier-to-autointegration factor OS=Mus musculus OX=10090 GN=Banf1 PE=1 SV=1,sp|O54962|BAF_MOUSE
26,tr|A0A1B0GRR3|A0A1B0GRR3_MOUSE,42.570978,8.618936705819406,0.0563,tr|A0A1B0GRR3|A0A1B0GRR3_MOUSE 40S ribosomal protein S11,tr|A0A1B0GRR3|A0A1B0GRR3_MOUSE 40S ribosomal protein S11 OS=Mus musculus OX=10090 GN=Rps11 PE=1 SV=1;sp|P62281|RS11_MOUSE 40S ribosomal protein S11 OS=Mus musculus OX=10090 GN=Rps11 PE=1 SV=3;tr|A0A1B0GSE8|A0A1B0GSE8_MOUSE 40S ribosomal protein S11 (Fragme,tr|A0A1B0GRR3|A0A1B0GRR3_MOUSE;sp|P62281|RS11_MOUSE;tr|A0A1B0GSE8|A0A1B0GSE8_MOUSE
27,tr|A0A0A0MQM0|A0A0A0MQM0_MOUSE,41.435449,7.607079544728571,0.0575,tr|A0A0A0MQM0|A0A0A0MQM0_MOUSE Eukaryotic translation initiation factor 5A (Fragment),tr|A0A0A0MQM0|A0A0A0MQM0_MOUSE Eukaryotic translation initiation factor 5A (Fragment) OS=Mus musculus OX=10090 GN=Eif5a PE=1 SV=1;sp|P63242|IF5A1_MOUSE Eukaryotic translation initiation factor 5A-1 OS=Mus musculus OX=10090 GN=Eif5a PE=1 SV=2;tr|J3QPS8|J3QP,tr|A0A0A0MQM0|A0A0A0MQM0_MOUSE;sp|P63242|IF5A1_MOUSE;tr|J3QPS8|J3QPS8_MOUSE;sp|Q8BGY2|IF5A2_MOUSE
28,sp|Q3T9E4|TGTP2_MOUSE,-40.515785,7.595463152458813,0.05897,T-cell-specific guanine nucleotide triphosphate-binding protein 2,sp|Q3T9E4|TGTP2_MOUSE T-cell-specific guanine nucleotide triphosphate-binding protein 2 OS=Mus musculus OX=10090 GN=Tgtp2 PE=1 SV=2;sp|Q62293|TGTP1_MOUSE T-cell-specific guanine nucleotide triphosphate-binding protein 1 OS=Mus musculus OX=10090 GN=Tgtp1 PE,sp|Q3T9E4|TGTP2_MOUSE;sp|Q62293|TGTP1_MOUSE;tr|Q5SVP4|Q5SVP4_MOUSE
29,tr|E9Q616|E9Q616_MOUSE,40.450935,11.138460594725702,0.05897,none,tr|E9Q616|E9Q616_MOUSE AHNAK nucleoprotein (desmoyokin) OS=Mus musculus OX=10090 GN=Ahnak PE=1 SV=1,tr|E9Q616|E9Q616_MOUSE;tr|A0A494BBD5|A0A494BBD5_MOUSE;tr|G5E8K8|G5E8K8_MOUSE;tr|A0A494B8Y7|A0A494B8Y7_MOUSE
30,sp|Q8CIB5|FERM2_MOUSE,39.722675,8.286523831815504,0.05897,Fermitin family homolog 2,sp|Q8CIB5|FERM2_MOUSE Fermitin family homolog 2 OS=Mus musculus OX=10090 GN=Fermt2 PE=1 SV=1,sp|Q8CIB5|FERM2_MOUSE;tr|A6X941|A6X941_MOUSE;tr|A6X940|A6X940_MOUSE
31,sp|P43275|H11_MOUSE,-39.464544,8.182443185957242,0.05897,Histone H1.1,sp|P43275|H11_MOUSE Histone H1.1 OS=Mus musculus OX=10090 GN=H1-1 PE=1 SV=2,sp|P43275|H11_MOUSE
32,tr|Q9ESU7|Q9ESU7_MOUSE,39.203897,8.335437840434784,0.05897,tr|Q9ESU7|Q9ESU7_MOUSE Amino acid transporter,tr|Q9ESU7|Q9ESU7_MOUSE Amino acid transporter OS=Mus musculus OX=10090 GN=Slc1a5 PE=1 SV=1;sp|P51912|AAAT_MOUSE Neutral amino acid transporter B(0) OS=Mus musculus OX=10090 GN=Slc1a5 PE=1 SV=2,tr|Q9ESU7|Q9ESU7_MOUSE;sp|P51912|AAAT_MOUSE
33,tr|A0A338P6B4|A0A338P6B4_MOUSE,38.593471,7.344706581266698,0.05897,none,tr|A0A338P6B4|A0A338P6B4_MOUSE DNA-directed RNA polymerases I  II  and III subunit RPABC3 (Fragment) OS=Mus musculus OX=10090 GN=Polr2h PE=1 SV=1;tr|A0A338P6I2|A0A338P6I2_MOUSE DNA-directed RNA polymerases I  II  and III subunit RPABC3 OS=Mus musculus OX=1,tr|A0A338P6B4|A0A338P6B4_MOUSE;tr|A0A338P6I2|A0A338P6I2_MOUSE;sp|Q923G2|RPAB3_MOUSE
34,sp|P50544|ACADV_MOUSE,-37.32666,7.714103331018113,0.06086,"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial",sp|P50544|ACADV_MOUSE Very long-chain specific acyl-CoA dehydrogenase  mitochondrial OS=Mus musculus OX=10090 GN=Acadvl PE=1 SV=3;tr|B1AR28|B1AR28_MOUSE Very long-chain-specific acyl-CoA dehydrogenase  mitochondrial OS=Mus musculus OX=10090 GN=Acadvl PE=1 ,sp|P50544|ACADV_MOUSE;tr|B1AR28|B1AR28_MOUSE
35,sp|P23242|CXA1_MOUSE,34.592963,8.322157248233077,0.07194,Gap junction alpha-1 protein,sp|P23242|CXA1_MOUSE Gap junction alpha-1 protein OS=Mus musculus OX=10090 GN=Gja1 PE=1 SV=2,sp|P23242|CXA1_MOUSE;tr|A0A1W2P793|A0A1W2P793_MOUSE;tr|A0A1W2P8A3|A0A1W2P8A3_MOUSE
36,tr|E9Q3N1|E9Q3N1_MOUSE,33.123642,7.614886674777004,0.0773,tr|E9Q3N1|E9Q3N1_MOUSE High affinity cationic amino acid transporter 1 (Fragment),tr|E9Q3N1|E9Q3N1_MOUSE High affinity cationic amino acid transporter 1 (Fragment) OS=Mus musculus OX=10090 GN=Slc7a1 PE=1 SV=8;sp|Q09143|SL7A1_MOUSE High affinity cationic amino acid transporter 1 OS=Mus musculus OX=10090 GN=Slc7a1 PE=1 SV=1,tr|E9Q3N1|E9Q3N1_MOUSE;sp|Q09143|SL7A1_MOUSE
37,sp|Q8JZM0|TFB1M_MOUSE,-31.58006,7.099127927726467,0.08711,"Dimethyladenosine transferase 1, mitochondrial",sp|Q8JZM0|TFB1M_MOUSE Dimethyladenosine transferase 1  mitochondrial OS=Mus musculus OX=10090 GN=Tfb1m PE=1 SV=1,sp|Q8JZM0|TFB1M_MOUSE
38,sp|Q8C0J6|SWAHC_MOUSE,-31.352857,7.422047864705878,0.08769,Ankyrin repeat domain-containing protein SOWAHC,sp|Q8C0J6|SWAHC_MOUSE Ankyrin repeat domain-containing protein SOWAHC OS=Mus musculus OX=10090 GN=Sowahc PE=1 SV=2,sp|Q8C0J6|SWAHC_MOUSE
39,sp|Q922W5|P5CR1_MOUSE,-30.29776,7.71637901287223,0.094,"Pyrroline-5-carboxylate reductase 1, mitochondrial",sp|Q922W5|P5CR1_MOUSE Pyrroline-5-carboxylate reductase 1  mitochondrial OS=Mus musculus OX=10090 GN=Pycr1 PE=1 SV=1;tr|A2ABZ2|A2ABZ2_MOUSE Pyrroline-5-carboxylate reductase 1  mitochondrial (Fragment) OS=Mus musculus OX=10090 GN=Pycr1 PE=1 SV=1;tr|A2ABZ3|,sp|Q922W5|P5CR1_MOUSE;tr|A2ABZ2|A2ABZ2_MOUSE;tr|A2ABZ3|A2ABZ3_MOUSE;tr|A2ABZ0|A2ABZ0_MOUSE
40,sp|P47962|RL5_MOUSE,30.138254,7.899957223499185,0.094,60S ribosomal protein L5,sp|P47962|RL5_MOUSE 60S ribosomal protein L5 OS=Mus musculus OX=10090 GN=Rpl5 PE=1 SV=3;tr|D3YYV8|D3YYV8_MOUSE 60S ribosomal protein L5 (Fragment) OS=Mus musculus OX=10090 GN=Rpl5 PE=1 SV=1,sp|P47962|RL5_MOUSE;tr|D3YYV8|D3YYV8_MOUSE
41,sp|P70453|PDE7A_MOUSE,-29.046934000000004,7.343487370238302,0.09857,"High affinity cAMP-specific 3,5-cyclic phosphodiesterase 7A",sp|P70453|PDE7A_MOUSE High affinity cAMP-specific 3 5-cyclic phosphodiesterase 7A OS=Mus musculus OX=10090 GN=Pde7a PE=2 SV=2,sp|P70453|PDE7A_MOUSE
42,sp|P45952|ACADM_MOUSE,-28.997829,7.815790195182804,0.09857,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",sp|P45952|ACADM_MOUSE Medium-chain specific acyl-CoA dehydrogenase  mitochondrial OS=Mus musculus OX=10090 GN=Acadm PE=1 SV=1,sp|P45952|ACADM_MOUSE;tr|D6RFD7|D6RFD7_MOUSE
43,tr|Q8VCV2|Q8VCV2_MOUSE,-28.338641,7.569853592689579,0.09909,tr|Q8VCV2|Q8VCV2_MOUSE Ndrg3 protein,tr|Q8VCV2|Q8VCV2_MOUSE Ndrg3 protein OS=Mus musculus OX=10090 GN=Ndrg3 PE=1 SV=1;sp|Q9QYF9|NDRG3_MOUSE Protein NDRG3 OS=Mus musculus OX=10090 GN=Ndrg3 PE=1 SV=1;tr|Q8CBD0|Q8CBD0_MOUSE Protein NDRG3 OS=Mus musculus OX=10090 GN=Ndrg3 PE=1 SV=1,tr|Q8VCV2|Q8VCV2_MOUSE;sp|Q9QYF9|NDRG3_MOUSE;tr|Q8CBD0|Q8CBD0_MOUSE
44,tr|A0A498WFS2|A0A498WFS2_MOUSE,-28.302332,6.991527318383332,0.09909,tr|A0A498WFS2|A0A498WFS2_MOUSE UBX domain-containing protein 1,tr|A0A498WFS2|A0A498WFS2_MOUSE UBX domain-containing protein 1 OS=Mus musculus OX=10090 GN=Ubxn1 PE=1 SV=1;sp|Q922Y1|UBXN1_MOUSE UBX domain-containing protein 1 OS=Mus musculus OX=10090 GN=Ubxn1 PE=1 SV=1,tr|A0A498WFS2|A0A498WFS2_MOUSE;sp|Q922Y1|UBXN1_MOUSE
45,tr|A2A6U3|A2A6U3_MOUSE,28.017551,8.66848842045722,0.09909,tr|A2A6U3|A2A6U3_MOUSE Septin-9,tr|A2A6U3|A2A6U3_MOUSE Septin-9 OS=Mus musculus OX=10090 GN=Septin9 PE=1 SV=1;sp|Q80UG5|SEPT9_MOUSE Septin-9 OS=Mus musculus OX=10090 GN=Septin9 PE=1 SV=1,tr|A2A6U3|A2A6U3_MOUSE;sp|Q80UG5|SEPT9_MOUSE;tr|A2A6U5|A2A6U5_MOUSE;tr|A8Y5D3|A8Y5D3_MOUSE;REV__sp|Q6NSQ7|LTV1_MOUSE
46,tr|F8WHG5|F8WHG5_MOUSE,-27.794736,7.331649954552743,0.09909,tr|F8WHG5|F8WHG5_MOUSE RAC-beta serine/threonine-protein kinase,tr|F8WHG5|F8WHG5_MOUSE RAC-beta serine/threonine-protein kinase OS=Mus musculus OX=10090 GN=Akt2 PE=1 SV=1;sp|Q60823|AKT2_MOUSE RAC-beta serine/threonine-protein kinase OS=Mus musculus OX=10090 GN=Akt2 PE=1 SV=1;tr|D3YXM7|D3YXM7_MOUSE RAC-beta serine/threo,tr|F8WHG5|F8WHG5_MOUSE;sp|Q60823|AKT2_MOUSE;tr|D3YXM7|D3YXM7_MOUSE;tr|D3Z3N2|D3Z3N2_MOUSE
47,sp|Q6ZQI3|MLEC_MOUSE,-27.602247,7.560791062462646,0.09909,Malectin,sp|Q6ZQI3|MLEC_MOUSE Malectin OS=Mus musculus OX=10090 GN=Mlec PE=1 SV=2,sp|Q6ZQI3|MLEC_MOUSE
48,tr|Q3UXD9|Q3UXD9_MOUSE,-27.354098,8.363311065636625,0.09909,tr|Q3UXD9|Q3UXD9_MOUSE Peroxisomal trans-2-enoyl-CoA reductase,tr|Q3UXD9|Q3UXD9_MOUSE Peroxisomal trans-2-enoyl-CoA reductase OS=Mus musculus OX=10090 GN=Pecr PE=1 SV=1;sp|Q99MZ7|PECR_MOUSE Peroxisomal trans-2-enoyl-CoA reductase OS=Mus musculus OX=10090 GN=Pecr PE=1 SV=1,tr|Q3UXD9|Q3UXD9_MOUSE;sp|Q99MZ7|PECR_MOUSE;tr|D6RHN4|D6RHN4_MOUSE;tr|D6RIP0|D6RIP0_MOUSE
49,sp|Q9CQU0|TXD12_MOUSE,-26.862341,8.34026560097233,0.09909,Thioredoxin domain-containing protein 12,sp|Q9CQU0|TXD12_MOUSE Thioredoxin domain-containing protein 12 OS=Mus musculus OX=10090 GN=Txndc12 PE=1 SV=1,sp|Q9CQU0|TXD12_MOUSE
50,sp|Q99JR1|SFXN1_MOUSE,-26.198422,7.412662107372581,0.10392,Sideroflexin-1,sp|Q99JR1|SFXN1_MOUSE Sideroflexin-1 OS=Mus musculus OX=10090 GN=Sfxn1 PE=1 SV=3,sp|Q99JR1|SFXN1_MOUSE
51,tr|B0QZX9|B0QZX9_MOUSE,-26.082657,6.6610929962917425,0.10392,tr|B0QZX9|B0QZX9_MOUSE Dephospho-CoA kinase domain-containing protein (Fragment),tr|B0QZX9|B0QZX9_MOUSE Dephospho-CoA kinase domain-containing protein (Fragment) OS=Mus musculus OX=10090 GN=Dcakd PE=1 SV=1;sp|Q8BHC4|DCAKD_MOUSE Dephospho-CoA kinase domain-containing protein OS=Mus musculus OX=10090 GN=Dcakd PE=1 SV=1,tr|B0QZX9|B0QZX9_MOUSE;sp|Q8BHC4|DCAKD_MOUSE
52,sp|Q02013|AQP1_MOUSE,25.873689,7.679055224758067,0.10392,Aquaporin-1,sp|Q02013|AQP1_MOUSE Aquaporin-1 OS=Mus musculus OX=10090 GN=Aqp1 PE=1 SV=3,sp|Q02013|AQP1_MOUSE
53,sp|Q8JZQ9|EIF3B_MOUSE,24.391984,7.635986111800833,0.11593,Eukaryotic translation initiation factor 3 subunit B,sp|Q8JZQ9|EIF3B_MOUSE Eukaryotic translation initiation factor 3 subunit B OS=Mus musculus OX=10090 GN=Eif3b PE=1 SV=1,sp|Q8JZQ9|EIF3B_MOUSE;tr|A0A0G2JG48|A0A0G2JG48_MOUSE
